,xcoords,ycoords,zcoords,elecName,elecID,label,bank,bankID,nevID
0,2.0,9.0,0.0,utah,78.0,utah78,A,1.0,1.0
1,1.0,9.0,0.0,utah,88.0,utah88,A,2.0,2.0
2,3.0,9.0,0.0,utah,68.0,utah68,A,3.0,3.0
3,4.0,9.0,0.0,utah,58.0,utah58,A,4.0,4.0
4,4.0,7.0,0.0,utah,56.0,utah56,A,5.0,5.0
5,5.0,9.0,0.0,utah,48.0,utah48,A,6.0,6.0
6,4.0,8.0,0.0,utah,57.0,utah57,A,7.0,7.0
7,6.0,9.0,0.0,utah,38.0,utah38,A,8.0,8.0
8,5.0,8.0,0.0,utah,47.0,utah47,A,9.0,9.0
9,7.0,9.0,0.0,utah,28.0,utah28,A,10.0,10.0
10,6.0,8.0,0.0,utah,37.0,utah37,A,11.0,11.0
11,7.0,8.0,0.0,utah,27.0,utah27,A,12.0,12.0
12,6.0,7.0,0.0,utah,36.0,utah36,A,13.0,13.0
13,8.0,9.0,0.0,utah,18.0,utah18,A,14.0,14.0
14,5.0,6.0,0.0,utah,45.0,utah45,A,15.0,15.0
15,8.0,8.0,0.0,utah,17.0,utah17,A,16.0,16.0
16,5.0,7.0,0.0,utah,46.0,utah46,A,17.0,17.0
17,9.0,8.0,0.0,utah,8.0,utah8,A,18.0,18.0
18,6.0,6.0,0.0,utah,35.0,utah35,A,19.0,19.0
19,8.0,7.0,0.0,utah,16.0,utah16,A,20.0,20.0
20,7.0,5.0,0.0,utah,24.0,utah24,A,21.0,21.0
21,9.0,7.0,0.0,utah,7.0,utah7,A,22.0,22.0
22,7.0,7.0,0.0,utah,26.0,utah26,A,23.0,23.0
23,9.0,6.0,0.0,utah,6.0,utah6,A,24.0,24.0
24,7.0,6.0,0.0,utah,25.0,utah25,A,25.0,25.0
25,9.0,5.0,0.0,utah,5.0,utah5,A,26.0,26.0
26,8.0,6.0,0.0,utah,15.0,utah15,A,27.0,27.0
27,9.0,4.0,0.0,utah,4.0,utah4,A,28.0,28.0
28,8.0,5.0,0.0,utah,14.0,utah14,A,29.0,29.0
29,9.0,3.0,0.0,utah,3.0,utah3,A,30.0,30.0
30,8.0,4.0,0.0,utah,13.0,utah13,A,31.0,31.0
31,9.0,2.0,0.0,utah,2.0,utah2,A,32.0,32.0
32,2.0,8.0,0.0,utah,77.0,utah77,B,1.0,33.0
33,3.0,8.0,0.0,utah,67.0,utah67,B,2.0,34.0
34,2.0,7.0,0.0,utah,76.0,utah76,B,3.0,35.0
35,3.0,7.0,0.0,utah,66.0,utah66,B,4.0,36.0
36,2.0,6.0,0.0,utah,75.0,utah75,B,5.0,37.0
37,3.0,6.0,0.0,utah,65.0,utah65,B,6.0,38.0
38,2.0,5.0,0.0,utah,74.0,utah74,B,7.0,39.0
39,3.0,5.0,0.0,utah,64.0,utah64,B,8.0,40.0
40,2.0,4.0,0.0,utah,73.0,utah73,B,9.0,41.0
41,4.0,5.0,0.0,utah,54.0,utah54,B,10.0,42.0
42,3.0,4.0,0.0,utah,63.0,utah63,B,11.0,43.0
43,4.0,4.0,0.0,utah,53.0,utah53,B,12.0,44.0
44,2.0,3.0,0.0,utah,72.0,utah72,B,13.0,45.0
45,5.0,4.0,0.0,utah,43.0,utah43,B,14.0,46.0
46,3.0,3.0,0.0,utah,62.0,utah62,B,15.0,47.0
47,4.0,6.0,0.0,utah,55.0,utah55,B,16.0,48.0
48,3.0,2.0,0.0,utah,61.0,utah61,B,17.0,49.0
49,5.0,5.0,0.0,utah,44.0,utah44,B,18.0,50.0
50,4.0,3.0,0.0,utah,52.0,utah52,B,19.0,51.0
51,6.0,4.0,0.0,utah,33.0,utah33,B,20.0,52.0
52,4.0,2.0,0.0,utah,51.0,utah51,B,21.0,53.0
53,6.0,5.0,0.0,utah,34.0,utah34,B,22.0,54.0
54,5.0,2.0,0.0,utah,41.0,utah41,B,23.0,55.0
55,5.0,3.0,0.0,utah,42.0,utah42,B,24.0,56.0
56,6.0,2.0,0.0,utah,31.0,utah31,B,25.0,57.0
57,6.0,3.0,0.0,utah,32.0,utah32,B,26.0,58.0
58,7.0,2.0,0.0,utah,21.0,utah21,B,27.0,59.0
59,7.0,3.0,0.0,utah,22.0,utah22,B,28.0,60.0
60,8.0,2.0,0.0,utah,11.0,utah11,B,29.0,61.0
61,7.0,4.0,0.0,utah,23.0,utah23,B,30.0,62.0
62,8.0,1.0,0.0,utah,10.0,utah10,B,31.0,63.0
63,8.0,3.0,0.0,utah,12.0,utah12,B,32.0,64.0
64,0.0,8.0,0.0,utah,96.0,utah96,C,1.0,65.0
65,1.0,8.0,0.0,utah,87.0,utah87,C,2.0,66.0
66,0.0,7.0,0.0,utah,95.0,utah95,C,3.0,67.0
67,1.0,7.0,0.0,utah,86.0,utah86,C,4.0,68.0
68,0.0,6.0,0.0,utah,94.0,utah94,C,5.0,69.0
69,1.0,6.0,0.0,utah,85.0,utah85,C,6.0,70.0
70,0.0,5.0,0.0,utah,93.0,utah93,C,7.0,71.0
71,1.0,5.0,0.0,utah,84.0,utah84,C,8.0,72.0
72,0.0,4.0,0.0,utah,92.0,utah92,C,9.0,73.0
73,1.0,4.0,0.0,utah,83.0,utah83,C,10.0,74.0
74,0.0,3.0,0.0,utah,91.0,utah91,C,11.0,75.0
75,1.0,3.0,0.0,utah,82.0,utah82,C,12.0,76.0
76,0.0,2.0,0.0,utah,90.0,utah90,C,13.0,77.0
77,1.0,2.0,0.0,utah,81.0,utah81,C,14.0,78.0
78,0.0,1.0,0.0,utah,89.0,utah89,C,15.0,79.0
79,1.0,1.0,0.0,utah,80.0,utah80,C,16.0,80.0
80,1.0,0.0,0.0,utah,79.0,utah79,C,17.0,81.0
81,2.0,2.0,0.0,utah,71.0,utah71,C,18.0,82.0
82,2.0,0.0,0.0,utah,69.0,utah69,C,19.0,83.0
83,2.0,1.0,0.0,utah,70.0,utah70,C,20.0,84.0
84,3.0,0.0,0.0,utah,59.0,utah59,C,21.0,85.0
85,3.0,1.0,0.0,utah,60.0,utah60,C,22.0,86.0
86,4.0,1.0,0.0,utah,50.0,utah50,C,23.0,87.0
87,4.0,0.0,0.0,utah,49.0,utah49,C,24.0,88.0
88,5.0,1.0,0.0,utah,40.0,utah40,C,25.0,89.0
89,5.0,0.0,0.0,utah,39.0,utah39,C,26.0,90.0
90,6.0,1.0,0.0,utah,30.0,utah30,C,27.0,91.0
91,6.0,0.0,0.0,utah,29.0,utah29,C,28.0,92.0
92,7.0,0.0,0.0,utah,19.0,utah19,C,29.0,93.0
93,7.0,1.0,0.0,utah,20.0,utah20,C,30.0,94.0
94,9.0,1.0,0.0,utah,1.0,utah1,C,31.0,95.0
95,8.0,0.0,0.0,utah,9.0,utah9,C,32.0,96.0
